smiles,pEC50_rM1,pEC50_hM1,pEC50_hM2,pEC50_hM4,pEC50_rM4,pEC50_hM5,pKi_rM1,pKi_hM2,pKi_hM3,pIC50_hM2,pIC50_rM2,pIC50_hM3,pIC50_hM4,pIC50_hM5,pKi_hM4,pKi_hM5,pIC50_hM1,pIC50_rM1,pKi_hM1,pKi_rM2,pKi_rM3,pIC50_AChE_HouseMouse,pIC50_AChE_human,pIC50_AChE_Cow,pIC50_AChE_eel,pIC50_AChE_BrownRat,pIC50_BChE_human,pKi_AChE_eel,pKi_AChE_human,pKi_BChE_human
CN1CCCC1CCOC(=O)Nc2ccc(F)cc2c3ccccc3,,,,,,,,,8.64781748188864,,,,,,,,,,,,,,,,,,,,,
CCC(=O)NCc1cc(cc(c1)C(=O)NCCN2CCN(CCCCC3CCN(CC(=O)N4c5ccccc5NC(=O)c6ccccc46)CC3)CC2)C(=O)NCCN7CCC(CC7)N8CCC(CC8)N9C(=O)Nc%10ccccc9%10,,,,,,,,,,,,,,,,6.95860731484177,,,8.55284196865778,,,,,,,,,,,
Oc1ccc(CCOCCCCCNc2c3CCCCc3nc4ccccc24)cc1O,,,,,,,,,,,,,,,,,,,,,,,6.26600071346161,,,,,6.67778070526608,,
COc1cc2CC(Sc2cc1OC)C(=O)CCc3cc[n+](Cc4coc(c4)[N+](=O)[O-])cc3,,,,,,,,,,,,,,,,,,,,,,,8.34678748622466,,,,,,,
CCOC(OCC)c1ccc(\C=C\2/CN(Cc3ccccc3)C\C(=C/c4ccc(cc4)C(OCC)OCC)\C2=O)cc1,,,,,,,,,,,,,,,,,,,,,,,4.5600360640791,,,,,,,
[Cl-].Cc1ccc(C[n+]2cccc(Cn3c4ccccc4c5ccccc35)c2)cc1,,,,,,,,,,,,,,,,,,,,,,,,,4.63638802010786,,,,,
COc1ccc(cc1OC)[C@H](Cc2c(Cl)c[n+]([O-])cc2Cl)OC(=O)c3ccc(CNC[C@](O)(C(=O)O[C@H]4CN5CCC4CC5)c6ccccc6)s3,,,,,,,,,,,,8.25963731050576,,,,,,,,,,,,,,,,,,
CC1(C)C[C@H](O)[C@]23CC[C@@H](O)[C@](C)(CC[C@@H]12)C3,,,,,,,,,,,,,,,,,,,,,,,,,,,3.34122567915564,,,
NC1=C(C#N)C2(C(=O)c3cccc4cccc2c34)C(=C5NCCCN15)[N+](=O)[O-],,,,,,,,,,,,,,,,,,,,,,,5.18111458540599,,,,,,,
COc1cc2CC3(C(CN(C)C34C(=O)Nc5ccc(Cl)cc45)c6ccccc6Cl)C(=O)c2cc1OC,,,,,,,,,,,,,,,,,,,,,,,5.18045606445813,,,,,,,
Cc1ccc2NC(=O)C3(C(=C(N)N4CC(C)(C)CNC4=C3[N+](=O)[O-])C#N)c2c1,,,,,,,,,,,,,,,,,,,,,,,5.85698519974591,,,,,,,
