smiles,pKi_hm,pKi_hd,pKi_hk,pEC50_hm,pEC50_hd,pEC50_hk
COc1ccc(cc1)C(CNC(=O)c2ccc3CCCc3c2)N(C)C,,,,,5.133181197,
CCCCCCN1CCC(CC1)(C(=O)N(C)CC)c2ccccc2,7.657577319,,,,,
CCC(=O)N(C1CCN(CC1)C(=O)[C@H](Cc2ccccc2)NC(=O)[C@@H]3Cc4ccccc4CN3C(=O)[C@@H](N)Cc5c(C)cc(O)cc5C)c6ccccc6,,9.698970004,,,,
CCC(=O)N(CC1CCCCN1Cc2ccc3[C@@H](CCCc3c2)NC(=O)C)c4ccccc4,,5.229147988,,,,
CSCC[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)CNC(=O)CNC(=O)[C@@H](N)Cc2ccc(O)cc2)C(=O)N,7.920818754,8,6.677780705,6.200659451,6.522878745,
CN1CC[C@]23CC(=O)CC[C@@]2(O)[C@H]1Cc4ccc(C(=O)NCCc5ccc(cc5)C6=CC(=O)NC=C6)c(O)c34,9.366531544,8,6.853871964,,,
COC(=O)[C@@H]1C[C@H](OC(=O)C)C(=O)C2[C@@]1(C)CCC3C(=O)O[C@@H](C[C@]23C)c4cocc4,,,8.886056648,,,8.346787486
Fc1ccc(cc1)n2ccc(n2)N(C3CCN(Cc4ccccc4)CC3)C(=O)c5ocnc5,6.522878745,,,,,
CCc1cc(Br)ccc1Nc2nc(cs2)c3sc(C)nc3C,,,,5.30980392,,
CN([C@@H]1CC[C@@]2(O)[C@H]3[C@@H](O)c4ccc(O)c5O[C@@H]1[C@]2(CCN3CC6CC6)c45)C(=O)C#Cc7ccccc7,,,,6.04383157,,10.09745322
CN(C(CN1CCOCC1)c2ccc(cc2)c3ccccc3)C(=O)CN4C(=O)COc5cc(Cl)c(Cl)cc45,,,,,,6.494850022
CC(C)C[C@@H](NC(=O)[C@@H](Cc1ccccc1)NC(=O)[C@H](N)Cc2ccccc2)C(=O)N[C@H](CCNC(=N)N)C(=O)N3CCC(CC3)N4CCC[C@H]4C(=O)O,,,,,,10.49485002
CN(Cc1cnn(C)c1)C(=O)NCCN2Cc3ccccc3C2,5.517126416,,4.841637508,,,
CN(C)C1(CCC(C)(CNC(=O)C)CC1)c2ccccc2,6.853871964,,,,,
CCC1C(=O)N(C2CCN(Cc3cccc4[nH]ccc34)CC2)c5ccccc15,7.958607315,,7.886056648,7.638272164,,
O=C(CN1C(=O)c2ccccc2C1=O)N(C3CCN(CCc4ccccc4)CC3)c5ccccc5,,4.886056648,,,,
CC(=O)N1CC[C@@H](NC(=O)[C@@H](N)Cc2c(C)cc(O)cc2C)c3cc(Cc4ccccc4)ccc13,,,7.060480747,,,
NC(=O)c1cccc(OC2CCN(Cc3ccccc3)CC2)c1,,,7.124938737,,,
CN(C)[C@@]1(CC[C@]2(CC1)CN(CC(=O)NC3CCS(=O)(=O)CC3)C(=O)N2CC4(O)CCC4)c5ccccc5,6.709965389,,,,,
CN([C@H](CN1CCCC1)c2ccccc2)C(=O)Cc3ccc(CNC(=O)C)cc3,,,7.327902142,,,7.259637311
COc1ccc2C[C@H]3N(CC4CC4)CC[C@@]56[C@@H](Oc1c25)[C@]7(CC[C@@]36C[C@@H]7CSc8nc9ccccc9s8)OC,7.301203748,6.329670637,8.095284455,,6.67483339,7.195247398
COc1ccc(CN2C[C@@]3(CC[C@](CC3)(N(C)C)c4ccccc4)N(CCO)C2=O)cc1,6.30980392,,,,,
CCOC(=O)CN(C)C1=Nc2ccccc2N(C3CCN(CC3)C4CCCCCCC4)C1=O,5.355364496,4.550814829,6.091514981,,,
COc1ccc2C[C@H]3N(CC4CC4)CC[C@@]5(CC6(O)CC[C@@]35OC6=O)c2c1,5.197089511,,6.600326279,,,
COc1ccc2C[C@H]3N(CC4CC4)CC[C@@]56[C@@H](Oc1c25)[C@]7(CC[C@@]36C[C@@H]7C(NC(C)C(=O)N)c8ccccc8)OC,7.113227357,,7.39653084,6.340464093,,6.538771678
C[C@H]1C2Cc3ccc(cc3[C@@]1(C)CCN2CC4CC4)C(=O)NCCc5ccc(cc5)c6ccccn6,9.48148606,8.036212173,8.48148606,8.769551079,,8.585026652
C[C@@H](NC(=O)[C@@H](N)Cc1ccc(O)cc1)C(=O)N[C@@H](Cc2c[nH]c3ccccc23)C(=O)OCc4cc(cc(c4)C(F)(F)F)C(F)(F)F,,7,,,7.040958608,
COc1nc(ncc1N2C[C@@]3(CC[C@](CC3)(N(C)C)c4ccccc4)N(CC5CCC5)C2=O)C#N,6.455931956,,,,,
OC(=O)CN1CN(c2ccccc2)C3(CCN(CCC(c4ccccc4)c5ccccc5)CC3)C1=O,9.119186408,,6.614393726,,,
CN(C)C[C@H]1CCc2cc(ccc2[C@]1(O)c3cccc(O)c3)c4ccccc4,,,6.853871964,,,6.236572006
COc1cccc(Nc2ccc3CC4[C@H](C)[C@](C)(CCN4CC5CC5)c3c2)c1,,7.886056648,,,,
CN(C)[C@@]1(CC[C@]2(CC1)CN(Cc3ccncc3)C(=O)N2)c4ccccc4,6.619788758,,,,,
CC(C)[C@@H]1CC[C@@H](CC1)N2CCC(CC2)n3cc(CNCCO)c4ccccc34,6.01188716,,5.826813732,,,
CCOC(=O)C1(CCN(C)CC1)c2ccc(Cl)cc2,5.355561411,,,,,
CN(C)[C@@]1(CC[C@]2(CC1)CN(C(=O)N2)c3csc(n3)c4ccccc4)c5ccccc5,5.647817482,,,,,
CC(C)CN1CCC23[C@H]4Oc5c(O)ccc(C[C@@H]1[C@]2(O)CC(=Cc6ccc7ccccc7c6)C4=O)c35,,7.795880017,,,,
Cc1cc(O)cc(C)c1C[C@H](N)C(=O)N[C@@H]2CCN(C(=O)c3ccccc3)c4ccc(Cc5ccc6ccccc6c5)cc24.OC(=O)C(F)(F)F,,,6.795880017,,,
C[NH+]1CC[C@]23[C@H]4Oc5c(OC(=O)C)ccc(C[C@@H]1[C@@H]2C=C[C@@H]4OS(=O)(=O)[O-])c35,,6.812479279,,,,
COC(=O)C1=CC2=C(C[C@]34CCN(C)[C@H](Cc5ccc(OC)cc35)[C@]4(O)C2)NC1=O,,,5.512144994,,,
C[C@H]1[C@H]2Cc3ccc(O)cc3[C@]1(C)CCN2CCC(=O)Nc4cccc5ncccc45,,,5.812479279,,,
OC(=O)CN1CCC[C@@H]1c2nc3ccccc3n2[C@H]4C[C@H]5CCC[C@@H](C4)N5[C@@H]6C[C@@H]7CCCC[C@@H](C7)C6,5.953895213,5.277777536,7.185752404,,,
C[C@]12CC[C@H](C[C@@H](C1)N3C(=O)C(N[C@@H](CO)C(=O)O)Nc4ccccc34)N2C5CCCCCCC5,6.374687549,4.58552805,6.374687549,,,
N#Cc1ccc(Oc2ccc(CCNCc3ccccc3)cc2)nc1,5.967784297,,,,,
CC[C@@]12CCN(C)C[C@@H]1Oc3ccc(O)cc23,7.795880017,6.673664139,6.346787486,,,
CN(C)CC1(C[C@@H]2CC[C@@H](C1)N2C(c3ccccc3Cl)c4ccccc4Cl)c5cccc(F)n5,5.400553624,,,,,
OC1(C2CCC1CN(C2)C(c3ccccc3Cl)c4ccccc4Cl)c5cccnc5,5.139362583,,,,,
CC[C@H](C)[C@H]1NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CC(=O)N[C@@H](CNC1=O)C(=O)N2CCC[C@H]2C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCCN)C(=O)O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](Cc3ccccc3)NC(=O)CNC(=O)CNC(=O)[C@@H](N)Cc4ccc(O)cc4,,7.318758763,,,,
CCN(CC)C(=O)c1ccc(cc1)C(N2CCCNCC2)c3ccccc3,,,,,6.518557371,
Oc1ccc2O[C@H]3CN(CCc4ccc(cc4)C(F)(F)F)CC[C@@]3(CCc5ccccc5)c2c1,8.096910013,7.585026652,5.609241471,,,
OC1=C(C[C@@]2(O)[C@H]3Cc4ccc(O)c5O[C@@H]1[C@]2(CCN3CC6CC6)c45)C(=O)Nc7ccccn7,8.008773924,8.167491087,,,,
COCCOCCOCCOCCOCCOCCOCCOCCOc1ccc(CN2C[C@@]3(CC[C@](CC3)(N(C)C)c4ccccc4)N(CC5CCC5)C2=O)cc1,7.327902142,,,,,
Cc1cc(O)cc(C)c1C[C@H](N)C(=O)N[C@H](CCCNC(=N)N)C(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@@H](Cc3ccccc3)C(=O)N[C@@H](CCC(=O)N)C(=O)N[C@H](CC(=O)N[C@@H](Cc4ccccc4)C(=O)N[C@@H](CCC(=O)N)C(=O)N[C@@H](Cc5ccccc5)C(=O)N[C@@H](CCCCN)C(=O)N)Cc6ccccc6,8.301029996,,,,,
C(N1CCN(CC1)c2ccccn2)c3ccsc3,,,,4.033999142,,
COc1ccc2C[C@H]3N(CC4CC4)CC[C@@]56[C@@H](Oc1c25)[C@]7(CC[C@@]36C[C@@H]7c8ccc(NC=O)cc8)OC,,,8.366531544,,,
CN1C(CCNC(=O)c2ccsc2)CN=C(c3ccccc3F)c4ccccc14,8.522878745,7.823908741,9.431798276,,,
COC(=O)C12CN(C)CC(C(N(C)C1c3ccccn3)c4ccccn4)(C(=O)OC)C2=O,,,7.823908741,,,
C[C@H]1CN2CCN(Cc3ccccn3)C[C@H]2C[C@@]1(C)c4cccc(O)c4,7.698970004,5.958607315,6.408935393,,,
CN(C)c1ccc(cc1)c2cnc3[C@@H]4Oc5c(O)ccc6C[C@H]7N(CC8CC8)CC[C@@]4(c56)[C@]7(Cc3c2)OCCCc9ccccc9,8.327902142,7.27572413,8.207608311,8.677780705,,
CC(C)C1CCC(CC1)N2CCC(CC2)N3C(=O)C(=O)Nc4ccccc34,6.083546051,5.017728767,6.055517328,,,
C[C@H]1CN2C[C@H](CC[C@H]2C[C@@]1(C)c3cccc(O)c3)c4ccccc4,6.958607315,,6.356547324,,,
C[C@@H]1[C@@H]2Cc3ccc(cc3[C@]1(C)CCN2CC4CC4)C(=O)NCCc5ccc(cc5)c6ccccc6,8.193820026,8.004364805,8.070581074,,,
CN(C)[C@@]1(CC[C@]2(CC1)CN(CC(=O)Nc3cccnn3)C(=O)N2CC4CCC4)c5ccccc5,7.488116639,,,,,
C[C@H](NC(=O)[C@@H]1CCCN1C(=O)[C@@H](N)Cc2ccc(O)cc2)C(=O)N[C@@H](Cc3ccccc3)C(=O)N,6.646083769,,,,,
