smiles,pEC50_GluN_e2z1_rat,pEC50_GluN_e3z1_rat,pEC50_GlyT1_human,pEC50_GlyT2_human,pIC50_GABAa1b2g2_human,pEC50_GluA_human,pKi_GABA_a1b3g2_human,pKi_GABA_a2b3g2_human,pKi_GABAa5b3g2_human,pKi_GABA_a3b3g2_human
CCCC(CNS(=O)(=O)C(C)C)c1ccc(cc1)C(C)(C)C,,,,,,4.554395797,,,,
COc1cc(cc(SC)c1C(=O)N[C@]1(CCCN(C)C1)c1ccccc1)C(F)(F)F,,,8,4.823908741,,,,,,
C(Oc1nn2c(nnc2c2C3CCC(CC3)c12)-c1ccccc1)c1cscn1,,,,,,,7.167491087,7.677780705,8.920818754,8
CS(=O)(=O)c1ccc(OCCC(F)(F)F)c(c1)C(=O)N1Cc2ccc(cc2C1)C1CCOCC1,,,6.863279433,,,,,,,
Cc1cccc(COc2nn3c(nnc3c3C4CCC(CC4)c23)-c2ccoc2)n1,,,,,,,6.602059991,7.200659451,8.508638306,7.397940009
CN1c2ccccc2C(=NCC1=O)c1ccccc1,,,,,,,7.091514981,6.860120914,7.017728767,6.49757288
C[C@@]12CCC[C@H]1[C@@H]1CC=C3C[C@H](CC[C@]3(C)[C@H]1CC2)OC(=O)CC(O)=O,5.327902142,,,,,,,,,
N#Cc1cccc(COc2nn3c(nnc3c3ccccc23)-c2ccccc2)c1,,,,,,,6.13667714,6.397940009,6.886056648,6.769551079
CCc1sc(C(O)=O)c(c1C#N)-c1ccc(cc1)C(C)(C)C,,,,,,5.913284336,,,,
CN1Cc2c(ncn2-c2ccc(cc2C1=O)N1CCCC1)C(=O)OC(C)(C)C,,,,,,,8.236572006,6.772113295,8.031517051,6.772113295
On1ncc(C2CCNCC2)c1-c1ccccc1,,,,,6.823908741,,,,,
CCC[C@@]1(C[C@H]1[C@H](N)C(O)=O)C(O)=O,4.801342913,4.524328812,,,,,,,,
COc1ccc(OC)c(c1)-c1cccc2c(N)c(nnc12)C(=O)NCCCO,,,,,,,,6.959991364,,
CCOc1ccc(OC[C@H]2N(CCc3cc(OC(C)C)ccc23)C(=O)c2cccc(F)c2)cc1,5.327902142,5.443697499,,,,,,,,
Cn1ncnc1COc1cccc(c1)-c1cnnc(c1)-c1ccccc1,,,,,,,8.070581074,7.982966661,8.055517328,7.982966661
Cc1ccccc1C1(O)CCCCC1N1CCC2(CC1)C(CNC2=O)c1ccc(F)cc1,,,6.22475374,,,,,,,
CCSc1ccc(-c2nccs2)c2CC(C)CC(=O)c12,,,,,,,8.26760624,7.823908741,9,7.920818754
COc1ccc(cc1)C(NC(=O)CNC(=O)c1ccc(F)cc1)c1ccc(OC)cc1,,,5.178486472,4.63638802,,,,,,
CCc1ccc-2c(c1)C(=O)N(C)Cc1c(ncn-21)C(=O)OCCCOC(=O)c1ncn-2c1CN(C)C(=O)c1cc(CC)ccc-21,,,,,,,5.732359018,5.327625021,6.997833938,5.068287933
COc1ccc(OCC2N(CCc3sccc23)C(=O)c2cccc(Cl)c2)cc1,,5.400007822,,,,,,,,
CO\N=C1/[C@@H]2OCC=C3CN4CC[C@@]56[C@@H]4C[C@@H]3[C@@H]2[C@@H]5N(c2ccccc62)C1=O,,,,,,,,,,
C(Oc1nn2c(nnc2c2C3CCC(CC3)c12)-c1ccsc1)c1ccccn1,,,,,,,6.886056648,7.283996656,8.356547324,7.420216403
CN(C(=O)COc1nn2c(nnc2c2C3CCC(CC3)c12)-c1ccccc1)c1ccccc1,,,,,,,7.677780705,7.142667504,8.13076828,7.387216143
COC(=O)c1ccc(cc1)C1N(CCc2c[nH]c3ccccc23)C(=O)C(OC(C)=O)=C1C(C)=O,,4.283996656,,,,,,,,
Clc1ncn-2c1Cc1cncnc1-c1ccccc-21,,,,,,,,,7.806875402,
COc1cccc(n1)-c1cnc2nc(ccn12)C(F)(F)F,,,,,,,8.920818754,8.769551079,,8.769551079
CCOC(=O)c1ncn-2c1[C@H](C)N=C(c1ccccc1F)c1cc(ccc-21)C#C,,,,,,,6.329754147,6.534617149,7.721246399,6.534617149
COc1ccc(OC)c(c1)-c1cccc2c(N)c(nnc12)C(=O)NC1CC1,,,,,,,,8,,
[O-][N+](=O)c1ccc(N2CCOCC2)c(c1)C(=O)N1CCN(CC1)c1ccccc1Cl,,,5.853871964,4.950781977,,,,,,
COc1ccc(OC[C@H]2N(CCc3cc(OC(C)C)ccc23)C(=S)c2cccc(Cl)c2)cc1,6.494850022,6.318758763,,,,,,,,
NS(=O)(=O)c1cc2c(NC(NS2(=O)=O)C2CC3CC2C=C3)cc1Cl,,,,,,4.863279433,,,,
COc1ccc(OCC2N(CCc3cc(OC(C)C)ccc23)C(=S)c2cccc(Cl)c2)cc1,6.30980392,6.37675071,,,,,,,,
Fc1ccc(cc1)[C@H]1CNC(=O)C11CCN(CC1)[C@@H]1CCCC[C@@H]1c1ccc(F)cc1,,,7.443697499,4.398483216,,,,,,
Cc1ncn-2c1Cn1ncnc1-c1cc(Cl)ccc-21,,,,,,,7.744727495,6.659555885,8.522878745,6.576754126
CC(CNS(=O)(=O)C(F)(F)F)c1ccc(cc1)-c1ccccc1F,,,,,,4.482804102,,,,
Cc1ncc2Cc3c(Cl)ncn3-c3ccccc3-c2n1,,,,,,,,,7.806875402,
Fc1cccc(c1)C1(CCCCC1)N1CCC2(CC1)C(CNC2=O)c1ccccc1,,,6.164943898,,,,,,,
CCOC(=O)[C@@H]1C[C@H](CN(C1)C(=O)C(=O)c1c[nH]c2ccccc12)C(=O)OCC,,,,,,,,6.698970004,,6.602059991
COc1ccc(OCC2N(Cc3cccc(c3)C(F)(F)F)C(=O)Cc3cc(OC(C)C)ccc23)cc1,,6.400116928,,,,,,,,
Clc1ccc(cc1)-n1[nH]c2C3CN(CCC3N=Cc2c1=O)C(=O)Cc1cccnc1,,,,,,,8.494850022,8.26760624,,8.26760624
