Smiles,NET_pIC50_rat,DAT_pIC50_rat,DAT_pIC50_human,B1_pEC50_human,B3_pEC50_human,A1a_pEC50_human,B2_pEC50_human
OC(CNCCCc1ccc(O)cc1)c2ccc(O)c3NC(=O)C=Cc23,,,,7.443697499,,,10.2999976
CN(C)[C@@H]1CC[C@@H](c2ccccc2)c3ccccc13,6.853871964,6.075720714,,,,,
OC1(N2CCN=C2c3ccccc13)c4ccc5ccccc5c4,,7.638272164,8.387216143,,,,
OC[C@@H](NCCc1ccc(O)cc1)c2ccc(O)c3NC(=O)C=Cc23,,,,,,,8.886056648
CNC[C@@H](O)CCN1c2ccccc2N(c3cc(F)ccc3F)S1(=O)=O,,,5.680685696,,,,
O[C@@H](CNC[C@@H]1CC[C@H](CC1)NC(=O)CCN2CCC(CC2)OC(=O)Nc3ccccc3c4ccccc4)c5ccc(O)c6NC(=O)C=Cc56,,,,,,,9.800000875
OCc1cc(ccc1O)C(O)CNCCc2ccc(cc2)N3CCC(CCCc4ccccc4)CC3,,,,,,,5.799970733
CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c3cc(ccc13)C(=O)NC,,,5.48148606,,,,
Cl.COc1cccc(CCCNCC(O)c2cc(O)cc3NC(=O)COc23)c1,,,,,,,9.36999951
OC[C@H](Cc1ccc(NC(=O)NC2CCCCC2)cc1)NC[C@H](O)COc3ccccc3,,,,7.823908741,8.677780705,,
COc1ccc(cc1)[C@H]2C[C@H]3CC[C@H]([C@H]2C(=O)OCCc4ccc(N)cc4)N3C,,,8.15490196,,,,
CC1(C)COC(=N1)c2ccc(cc2)C(=O)c3ccc(Cl)cc3,,5.721246399,,,,,
COC(=O)[C@H]([C@@H]1CCCCN1)c2cccc(Cl)c2,,8.292429824,,,,,
CN1[C@H]2CC[C@@H]1[C@H]([C@H](C2)c3ccc(C)cc3)c4ncc(s4)c5ccc(F)cc5,,7.920818754,,,,,
COC1NN=C(C[S+]([O-])C(c2ccccc2)c3ccccc3)S1,,,3.968187729,,,,
Nc1c2CCc3ccccc3c2nc4ccccc14,4.91721463,,,,,,
O[C@@H](CNCCc1ccc(NS(=O)(=O)c2ccccc2)cc1)COc3cccnc3,,,,,7.494850022,,
CCCCCOc1cc(ccc1C(=O)NS(=O)(=O)C)c2ccc(CCNC[C@H](O)c3ccccc3)cc2,,,,6.795880017,8.552841969,,
C1NC[C@@]2([C@H]1[C@H]2c3ccccc3)c4ccccc4,,5.060480747,,,,,
CCCCCCCCc1csc(n1)N2CCc3cc(ccc23)S(=O)(=O)Nc4ccccc4,,,,,9.031517051,,
NCC1C2CCC(CC2)C1c3ccc(N)cc3,,6.795880017,,,,,
CN(C)C1C2CCC(CC2OC(=O)C)C1c3ccccc3,4.256490235,5.307153081,,,,,
CS(=O)(=O)c1ccccc1NCC2=NCCN2,,,,,,7.301029996,
Brc1ccc(cc1)C2=C(C3CCC(C2)S3)c4onc(c4)c5ccccc5,,,6.899629455,,,,
CC(C)C(=O)[C@@]12C(=C(CC=C(C)C)C(=O)[C@@](CC=C(C)C)(C[C@H](CC=C(C)C)[C@@]1(C)CCC=C(C)C)C2=O)O,,,5.698970004,,,,
CC(C)(Cc1ccc(NS(=O)(=O)N2CCC(CC2)c3ccccc3)cc1)NC[C@H](O)c4cccnc4,,,,,7.327902142,,
COc1ccc(cc1)c2cnc(s2)[C@@H]3[C@H]4CC[C@@H](C[C@@H]3c5ccc(Cl)cc5)N4C,,7.853871964,,,,,
Fc1cccc(Oc2cc(F)c(F)cc2N3CCC4(CCNCC4)C3)c1,,,8.359518563,,,,
C([C@H]1NCCc2cc3OCOc3cc12)c4ccccc4,,5.167491087,,,,,
Cc1ccc(Sc2ccccc2N3CCNCC3)cc1,,6.958607315,,,,,
CCCCC(C1CCCCN1)c2ccc(Cl)c(Cl)c2,,,8.244125144,,,,
COc1cc2nc(nc(N)c2cc1OC)N3CCNCC3,,,,,,,5.064996849
CCOC(=O)CNC(=O)c1ccc(cc1)N2CCC(CC2)NC[C@H](O)c3ccc(O)c(NS(=O)(=O)C)c3,,,,5.346787486,7.823908741,,5.494850022
O[C@@H](CNCCc1ccc(NC(=NC#N)Nc2cccc(Oc3ccccc3)c2)cc1)c4cccnc4,,,,,7.585026652,,
CC(C)Oc1cc(ccc1C(=O)O)c2ccc(C[C@H](CO)NC[C@H](O)c3ccccc3)cc2,,,,,8.13076828,,
CCCCC(C)(C)CN1CCN(C1=O)c2ccc(cc2)S(=O)(=O)Nc3ccc(CCNC[C@H](O)c4cccnc4)cc3,,,,,8.229147988,,
CCCCCCNC(=O)N1CCc2cc(ccc12)S(=O)(=O)Nc3ccccc3,,,,,8.161150909,,
CN(C)CC1C2CCC(C2)C1c3ccccc3,,6.288192771,,,,,
CCCN1CCc2cc3OCOc3cc2[C@@H]1Cc4ccccc4,,4.692503962,,,,,
C[C@@H](Cc1c[nH]c2ccccc12)NC[C@@H](O)c3cccc(Cl)c3,,,,6.853871964,5.48148606,,
CN1[C@@H]2CC[C@H]1C[C@H](C2)OC(c3ccccc3)c4ccc(cc4)C(F)(F)F,,5.666552726,,,,,
O[C@@H](CNCCc1ccc(NS(=O)(=O)c2ccc(cc2)n3ncc(n3)c4ccc(cc4)C(F)(F)F)cc1)c5cccnc5,,,,,7.853871964,,
CNC[C@H](O)CCN1c2ccccc2N(c3ccccc3C)S1(=O)=O,,,5.727694156,,,,
CN1C2CCC1[C@H]([C@H](C2)c3ccc(Cl)cc3)c4onc(Cc5ccc(C)cc5)c4,,,7.655607726,,,,
C[C@H](Cc1ccc(OCP(=O)(O)O)cc1)NC[C@H](O)c2cccc(Cl)c2,,,,,5.578396073,,
CN(CCCC(=O)Nc1cc(C)c(CNC[C@H](O)c2ccc(O)c3NC(=O)C=Cc23)cc1C)C(=O)CCN4CCC(CC4)OC(=O)Nc5ccccc5c6ccccc6,,,,,,,9
OCc1cc(ccc1O)C(O)CNCCc2ccc(Nc3ccc(O)cc3)cc2,,,,,,,6.698970004
CC1NCCCN(C1=O)c2ccc(Cl)c(Cl)c2,,,6.327902142,,,,
COC(=O)[C@@H]1C2CCC(C[C@@H]1c3ccc(N)c(I)c3)N2C,,8.853871964,,,,,
CN(C1CCCCC1)S(=O)(=O)Nc2ccc(CCNC[C@H](O)c3cccc(Cl)c3)cc2,,,,,6.270025714,,
CCCCCCNC(=O)Nc1ccc(cc1)S(=O)(=O)Nc2ccc(CCNC[C@H](O)COc3ccc(O)cc3)cc2,,,,6.48148606,9.366531544,,7.698970004
CN(C)[C@@H]1CCN(c2ccc(Cl)c(Cl)c2)c3ccccc13,,,7.795880017,,,,
