toxidrome,smiles,model
Opioid,CN(C)C(=O)C(CCN1CCC(O)(CC1)c2ccc(Cl)cc2)(c3ccccc3)c4ccccc4,pEC50_Delta
Opioid,CC1(C)SSC(C)(C)[C@@H](NC(=O)[C@@H](N)Cc2ccc(O)cc2)C(=O)NCC(=O)N[C@@H](Cc3ccccc3)C(=O)N[C@H]1C(=O)O,pEC50_Delta
Opioid,CCN(CC)C(=O)c1ccc(cc1)[C@@H](N2C[C@@H](C)N(CC=C)C[C@@H]2C)c3cccc(O)c3,pEC50_Delta
Opioid,CSCC[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)CNC(=O)CNC(=O)[C@@H](N)Cc2ccc(O)cc2)C(=O)N,pEC50_Delta
Opioid,CCN(CC)C(=O)c1ccc(cc1)[C@@H](N2C[C@@H](C)N(CC=C)C[C@@H]2C)c3cccc(OC)c3,pEC50_Delta
Opioid,CSCC[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)CNC(=O)CNC(=O)[C@@H](N)Cc2ccc(O)cc2)C(=O)O,pEC50_Delta
Opioid,CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)CNC(=O)CNC(=O)[C@@H](N)Cc2ccc(O)cc2)C(=O)O,pEC50_Delta
Opioid,Oc1ccc2C[C@H]3N(CC4CC4)CCC56C(Oc1c25)c7[nH]c8ccccc8c7CC36O,pEC50_Delta
Opioid,COc1ccc2C[C@H]3N(C)CC[C@@]45[C@@H](Oc1c24)C(=O)CC[C@@]35O,pEC50_Delta
Opioid,CN1CC[C@]23[C@H]4Oc5c(O)ccc(C[C@@H]1[C@@H]2C=C[C@@H]4O)c35,pEC50_Delta
Opioid,N[C@@H](Cc1ccc(O)cc1)C(=O)N2CCC[C@H]2C(=O)N[C@@H](Cc3c[nH]c4ccccc34)C(=O)N[C@@H](Cc5ccccc5)C(=O)N,pEC50_Delta
Opioid,Oc1ccc2C[C@H]3N(CC4CC4)CC[C@@]56[C@@H](Oc1c25)C(=O)CC[C@@]36O,pEC50_Delta
Opioid,C[C@@H](NC(=O)[C@@H](N)Cc1ccc(O)cc1)C(=O)NCC(=O)N(C)[C@@H](Cc2ccccc2)C(=O)NCCO,pEC50_Delta
Opioid,Oc1ccc2C[C@H]3N(CC4CC4)CC[C@@]56[C@@H](Oc1c25)c7[nH]c8[C@@H]9Oc%10c(O)ccc%11C[C@H]%12N(CC%13CC%13)CC[C@@]9(c%10%11)[C@@]%12(O)Cc8c7C[C@@]36O,pEC50_Delta
Opioid,C[C@@H](NC(=O)[C@@H](N)Cc1ccc(O)cc1)C(=O)NCC(=O)N[C@@H](Cc2ccccc2)C(=O)NNC(=O)[C@H](Cc3ccccc3)NC(=O)CNC(=O)[C@@H](C)NC(=O)[C@@H](N)Cc4ccc(O)cc4,pEC50_Delta
Opioid,COc1cccc2C[C@H]3N(CC4CC4)CC[C@@]5(CC(=O)CC[C@@]35OC)c12,pEC50_Delta
Opioid,CN([C@@H]1CC[C@@]2(O)[C@H]3Cc4ccc(O)c5O[C@@H]1[C@]2(CCN3CC6CC6)c45)C(=O)\C=C\c7cocc7,pEC50_Delta
Opioid,CC(C)C[C@@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)CNC(=O)[C@@H](C)NC(=O)[C@@H](N)Cc2ccc(O)cc2)C(=O)O,pEC50_Delta
Opioid,CCN(CC)C(=O)c1ccc(cc1)\C(=C\2/C[C@H]3CC[C@@H](C2)N3)\c4ccccc4,pEC50_Delta
Opioid,CCN(CC)C(=O)c1ccc(cc1)N(C2C[C@H]3CC[C@@H](C2)N3CC=C)c4ccccc4,pEC50_Delta
Opioid,CCN(CC)C(=O)c1ccc(cc1)N(C2CCN(Cc3ccccc3)CC2)c4cccc(O)c4,pEC50_Delta
Opioid,CN1CCC23C4Oc5c(O)ccc(CC1C2(O)Cc6cn[nH]c46)c35,pEC50_Delta
Opioid,CCN(CC)C(=O)c1ccc(cc1)N(C2C[C@H]3CC[C@@H](C2)N3)c4ccccc4,pEC50_Delta
Opioid,CC(C)[C@@H](CN1CC[C@](C)([C@@H](C)C1)c2cccc(O)c2)NC(=O)[C@H]3Cc4ccc(O)cc4CN3,pEC50_Delta
